Model Name,Batch Size,N_Epochs,lr,fr,eps,wu,wd,Training Loss,Valid. Loss,Test Loss
bert-base-uncased,16,1,8e-03,3e-05,1e-08,0.3,0.01,0.591917782035095,0.541551133127589,0.5494589687762351
bert-base-uncased,16,2,8e-03,3e-05,1e-08,0.3,0.01,0.5144420014015886,0.5322220731330546,0.5405917511645539
bert-base-uncased,16,2,8e-03,3e-05,1e-08,0.3,0.01,0.5261557834926031,0.5348066711112073,0.5449789781146979
bert-base-uncased,16,2,8e-03,3e-05,1e-08,0.3,0.01,0.5262432284406479,0.5364834603510404,0.5442131346564337
bert-base-uncased,16,2,8e-03,3e-05,1e-08,0.3,0.01,0.5228881077063794,0.5317794655106569,0.5414206353820916
bert-base-uncased,8,2,8e-03,3e-05,1e-08,0.3,0.01,0.5025347729754428,0.5263372078390405,0.5408478625275415
bert-base-uncased,16,2,8e-03,3e-05,1e-08,0.3,0.01,0.5175833865408076,0.5299331467402609,0.5393548633831601
bert-base-uncased,32,2,9e-03,3e-05,1e-08,0.3,0.01,0.537778630161917,0.5375812116422152,0.544689622127205
bert-base-uncased,16,2,9e-03,3e-05,1e-08,0.3,0.01,0.49362187751180286,0.5296302416214818,0.5318426963857769
bert-base-uncased,16,2,9e-03,3e-05,1e-08,0.3,0.01,0.49700603910431956,0.5367311782350666,0.5377451046343262
bert-base-uncased,16,2,8e-03,3e-05,1e-08,0.3,0.01,0.5012884134093657,0.5296295555798631,0.5299088261617583
bert-base-uncased,16,2,8e-03,3e-05,1e-08,0.3,0.01,0.5000142549836872,0.5302231021617588,0.5293666512431796
bert-base-uncased,16,2,7e-03,3e-05,1e-08,0.3,0.01,0.5044486838954174,0.5377744065695688,0.5376296118202756
bert-base-uncased,16,2,8e-03,3e-05,1e-08,0.3,0.01,0.5052633045722317,0.5361394801814305,0.5375764657182619
bert-base-uncased,16,2,9e-03,3e-05,1e-08,0.3,0.01,0.5001956636197125,0.5284490853940186,0.5304249236204793
bert-base-uncased,16,2,9e-03,3e-05,1e-08,0.3,0.01,0.5077240969368954,0.535806802738654,0.5368127491906709
bert-base-uncased,8,2,8e-03,3e-05,1e-08,0.3,0.01,0.47793067696673275,0.5228034263790244,0.5318197178801205
bert-base-uncased,4,2,8e-03,3e-05,1e-08,0.3,0.01,0.4714308920776849,0.5068201450030666,0.5321075311218197
electra,16,2,8e-03,3e-05,1e-08,0.3,0.01,0.5838124862076431,0.5694952069928771,0.5761884306148896
electra,16,3,8e-03,1e-04,1e-08,0.3,0.01,0.5792774790466226,0.5674022024399356,0.5748406506770494
electra,32,2,1e-02,1e-04,1e-06,0.1,0.0,0.5847266381544782,0.5737350536020178,0.5752468614262026
electra,16,7,3e-02,3e-04,1e-06,0.3,0.0,0.5770025180270341,0.5666764413839892,0.574946379640424
electra,16,2,3e-02,8e-04,1e-06,0.3,0.0,0.5774254717475531,0.5667371131283673,0.5747503352090707
bert-base-uncased more_data,16,2,8e-03,3e-05,1e-08,0.3,0.01,0.49500384194388575,0.548359891889911,0.552936034550509
bert-base-uncased more_data,16,1,8e-03,3e-05,1e-08,0.3,0.01,0.5784919331977152,0.5359175115039474,0.5448923915772182
bert-base-uncased more_data,16,1,8e-03,3e-05,1e-08,0.5,0.01,0.5866851659892818,0.5426086685375163,0.5514713312447546
bert-base-uncased more_data,16,1,8e-03,3e-05,1e-08,0.1,0.01,0.5755793528166917,0.54906467740473,0.5577430355660205
bert-base-uncased more_data,16,2,8e-03,3e-05,1e-08,0.1,0.01,0.4756847006652481,0.534342221719654,0.5423382102197754
BertBaseUncasedMDataStp*2,16,1,8e-03,3e-05,1e-08,0.1,0.01,0.5815412467936515,0.5120405672412169,0.5235640840397539
BertBaseUncasedMDataStp*2,16,1,8e-03,3e-05,1e-08,0.2,0.01,0.5852022985723851,0.5094210447645501,0.5273650758140289
BertBaseUncasedMDataStp*2,16,1,8e-03,3e-05,1e-08,0.3,0.01,0.5895106356467809,0.5327760051739844,0.5450695929984201
BertBaseUncasedMDataStp*2,16,1,8e-03,3e-05,1e-08,0.1,0.005,0.5771791366086249,0.5069270342294323,0.520541938859849
