Model Name,Batch Size,N_Epochs,lr,fr,eps,wu,wd,Training Loss,Training Accur.,Valid. Loss,Valid. Accur.,Testing Accur.
xlnet,32,4,3e-05,none,1e-08,0.1,0.01,0.4545018434347141,83.26955782312925,1.4590157173775338,43.389935992859506,48.89649923896499
xlnet,32,2,8e-03,3e-05,1e-06,0.3,0.01,1.0410075278914706,43.85841837545642,0.9648312193316382,43.24768846099441,50.951293759512936
xlnet,32,2,5e-03,2e-05,1e-08,0.1,0.01,1.0076804661831888,44.62372449790539,0.9634933729429502,44.73906473533527,48.89649923896499
albert-base-v2,32,2,5e-03,2e-05,1e-08,0.1,0.01,1.0136676740889647,44.538690484299956,0.9644417126436491,43.24768846099441,50.951293759512936
albert-base-v2,32,2,5e-03,2e-05,1e-08,0.1,0.01,0.9626696132072786,44.72151360645586,0.9640179244247643,43.24768846099441,50.951293759512936
albert-base-v2,32,3,5e-03,2e-05,1e-08,0.1,0.01,0.9720912097262687,47.04719388566049,0.966228061431163,43.24768846099441,50.951293759512936
albert-base-v2,32,4,3e-05,none,1e-08,0.1,0.01,0.8882992944749845,57.72534013808179,0.9931740897732813,43.24768846099441,50.951293759512936
albert-base-v2,32,2,3e-05,none,1e-08,0.1,0.01,0.9605611593139415,48.114370752354056,0.9521363063438518,51.540273830697345,50.4185692541857
albert-base-v2,32,2,3e-05,none,1e-08,none,0.01,0.968238910039266,44.85331632855798,0.9655782926726986,43.24768846099441,50.91324200913242
albert-base-v2,32,2,3e-05,none,1e-08,0.3,0.01,0.9561010386262622,47.67431973600063,0.9605669491999859,47.0772581728729,50.8751902587519
albert-base-v2,32,3,3e-05,none,1e-08,0.1,0.01,0.94213554323936,50.55484694688499,0.9653435607214231,46.588282327394225,50.8751902587519
roberta,32,3,3e-05,none,1e-08,0.1,0.01,0.9555197333802983,47.149234695904916,0.9625042894402066,46.2348862274273,48.858447488584474
roberta,32,3,3e-05,none,none,0.06,0.01,0.958991473832098,45.75467687480304,0.9630940757893227,45.7970305874541,49.048706240487064
roberta,16,4,1e-05,none,none,0.06,0.1,0.8042444121695458,62.08475298126065,1.0233122778905404,46.59346847518071,49.54337899543379
bert-base-uncased,32,4,1e-05,none,none,0.06,0.1,0.5708310699381796,80.08078231292517,1.1188840713049915,48.38415718561894,51.56012176560122
bert-base-uncased,16,4,1e-05,none,none,0.06,0.1,0.3808206012900887,86.85051107325383,1.3781474756227958,48.60641891891892,50.2283105022831
bert-base-uncased,32,4,1e-05,none,none,0.01,0.1,0.5582021983201001,81.05867346938776,1.1353246424649213,49.24431008261603,50.68493150684932
bert-base-uncased,32,4,5e-06,none,none,0.01,0.1,0.8313606622673216,64.90221088435374,0.9963647239917034,49.23097438908912,49.885844748858446
bert-base-uncased,32,4,1e-05,none,none,0.06,0.1,0.5205045101188478,83.46088435374149,1.132244301808847,47.697368425291934,50.68493150684932
